Rank,ADP,Pos,Name,Team,Bye,Comp,Yards,TD,Int,Att,Yards,TD,Fum,Rec,Yards,TD,Fantasy Points,Average Auction
270,333,WR,"Matthews, Rishard",MIA,5,0,0,0,0,2,6,0,0,18,209,2,30,$1
271,183,RB,"Blue, Alfred",HOU,9,0,0,0,0,192,666,3,1,22,166,1,30,$3
272,310,QB,"Glennon, Mike",TBB,6,34,350,3,1,4,13,0,0,0,0,0,30,$1
273,178,RB,"Helu, Roy",OAK,6,0,0,0,0,46,212,1,1,31,288,2,30,$3
274,309,WR,"Goodwin, Marquise",BUF,8,0,0,0,0,3,4,0,0,9,166,2,30,$1
275,298,WR,"Hogan, Chris",BUF,8,0,0,0,0,0,0,0,0,17,145,2,29,$0
276,,TE,"Hoomanawanui, Michael",NEP,4,0,0,0,0,0,0,0,0,11,124,1,29,$0
277,338,WR,"Brown, Jaron",ARI,9,0,0,0,0,1,3,0,0,17,178,2,29,$1
278,271,WR,"Whalen, Griff",IND,10,0,0,0,0,0,0,0,1,16,171,2,28,$0
279,,QB,"Gabbert, Blaine",SFO,10,12,169,4,1,11,10,0,0,0,0,0,28,$0
280,295,WR,"Campanaro, Michael",BAL,9,0,0,0,0,2,0,0,1,16,182,2,28,$1
281,256,QB,"McGloin, Matt",OAK,6,43,522,3,5,4,6,0,1,0,0,0,27,$1
282,609,WR,"Avant, Jason",KCC,9,0,0,0,0,1,1,0,0,27,270,0,27,$1
283,283,WR,"Gibson, Brandon",NEP,4,0,0,0,0,0,0,0,0,20,219,1,26,$1
284,266,WR,"Brown, Marlon",BAL,9,0,0,0,0,1,3,0,0,26,262,0,26,$1
285,,TE,"Doyle, Jack",IND,10,0,0,0,0,0,0,0,0,17,95,0,26,$0
286,321,TE,"Pruitt, MyCole",MIN,5,0,0,0,0,0,0,0,0,14,123,0,26,$1
287,272,WR,"Butler, Brice",OAK,6,0,0,0,0,0,0,0,0,14,127,2,26,$0
288,,WR,"Richardson, Paul",SEA,9,0,0,0,0,0,0,0,0,26,251,0,26,$
289,,WR,"Ross, Jeremy",DET,9,0,0,0,0,2,13,0,2,19,230,1,25,$1
290,224,RB,"Robinson, Khiry",NOS,11,0,0,0,0,102,455,4,2,21,144,0,24,$1
291,118,RB,"Sankey, Bishop",TEN,4,0,0,0,0,169,615,2,1,20,135,1,24,$5
292,100,RB,"Vereen, Shane",NYG,11,0,0,0,0,117,439,2,0,36,285,1,24,$7
293,303,RB,"Williams, Damien",MIA,5,0,0,0,0,61,226,0,0,30,272,2,24,$1
294,263,RB,"Gray, Jonas",NEP,4,0,0,0,0,107,420,4,0,9,63,0,24,$1
295,356,RB,"Todman, Jordan",CAR,5,0,0,0,0,27,162,1,0,20,155,1,24,$1
296,591,RB,"Taylor, Stepfan",ARI,9,0,0,0,0,54,168,0,0,9,62,2,24,$1
297,185,RB,"Artis-Payne, Cameron",CAR,5,0,0,0,0,107,358,2,1,19,121,1,24,$2
298,563,WR,"Pettis, Austin",SDC,10,0,0,0,0,0,0,0,0,18,175,1,24,$0
299,218,RB,"Jackson, Fred",BUF,8,0,0,0,0,117,465,2,0,37,289,1,24,$2
300,301,RB,"Rainey, Bobby",TBB,6,0,0,0,0,136,450,2,3,44,393,1,24,$1
301,127,RB,"Jennings, Rashad",NYG,11,0,0,0,0,136,523,4,1,26,182,0,24,$7
302,,TE,"Barnidge, Gary",CLE,11,0,0,0,0,0,0,0,0,10,132,0,23,$1
303,,TE,"Helfet, Cooper",SEA,9,0,0,0,0,0,0,0,0,8,81,1,22,$0
304,236,WR,"Lockette, Ricardo",SEA,9,0,0,0,0,1,3,0,0,15,226,1,21,$1
305,,TE,"Spaeth, Matt",PIT,11,0,0,0,0,0,0,0,0,4,52,2,21,$0
306,266,TE,"Robinson, Adrien",NYG,11,0,0,0,0,0,0,0,0,5,42,2,21,$1
307,,QB,"Tolzien, Scott",GBP,7,27,312,0,2,15,36,2,0,0,0,0,21,$0
308,341,WR,"Little, Greg",CIN,7,0,0,0,0,0,0,0,0,14,138,1,20,$0
309,187,WR,"Coates, Sammie",PIT,11,0,0,0,0,0,0,0,1,20,285,0,20,$2
310,250,QB,"Mallett, Ryan",HOU,9,37,370,2,2,9,0,0,0,0,0,0,20,$1
311,,QB,"Whitehurst, Charlie",TEN,4,18,225,2,1,5,15,0,0,0,0,0,19,$1
312,,WR,"Benjamin, Travis",CLE,11,0,0,0,0,3,11,0,0,13,250,1,19,$
313,,TE,"Moeaki, Tony",ATL,10,0,0,0,0,0,0,0,0,7,61,1,19,$1
314,247,QB,"Osweiler, Brock",DEN,7,17,189,2,0,15,0,0,0,0,0,0,19,$2
315,336,WR,"Fuller, Corey",DET,9,0,0,0,0,0,0,0,1,13,171,1,19,$1
316,,WR,"Salas, Greg",DET,9,0,0,0,0,1,4,1,0,6,114,0,18,$
317,213,RB,"Ridley, Stevan",NYJ,5,0,0,0,0,89,353,1,1,8,45,1,18,$2
318,270,WR,"Givens, Chris",STL,6,0,0,0,0,2,0,0,0,12,158,1,18,$1
319,340,RB,"Powell, Bilal",NYJ,5,0,0,0,0,130,555,1,1,28,201,1,18,$1
320,263,RB,"Asiata, Matt",MIN,5,0,0,0,0,61,225,3,1,16,94,0,18,$1
321,135,RB,"Cobb, David",TEN,4,0,0,0,0,113,415,1,1,22,143,1,18,$5
322,,QB,"Clemens, Kellen",SDC,10,30,328,2,2,5,10,0,1,0,0,0,18,$0
323,,RB,"Bradshaw, Ahmad",FA*,,0,0,0,0,65,250,1,0,22,170,1,18,$
324,,TE,"Rosario, Dante",CHI,7,0,0,0,0,0,0,0,1,12,85,0,18,$0
325,245,RB,"Hillman, Ronnie",DEN,7,0,0,0,0,108,394,1,0,16,98,1,18,$1
326,,WR,"Weems, Eric",ATL,10,0,0,0,0,0,0,0,0,6,50,2,18,$0
327,79,RB,"Coleman, Tevin",ATL,10,0,0,0,0,50,216,3,0,11,94,0,18,$11
328,96,RB,"Mason, Tre",STL,6,0,0,0,0,154,583,3,2,22,164,0,18,$7
329,302,RB,"Cunningham, Benny",STL,6,0,0,0,0,62,238,3,1,36,274,0,18,$1
330,237,RB,"Taliaferro, Lorenzo",BAL,9,0,0,0,0,77,318,3,2,12,87,0,18,$1
331,158,RB,"Ball, Montee",DEN,7,0,0,0,0,128,595,3,1,23,146,0,18,$3
332,,WR,"Moore, Lance",DET,9,0,0,0,0,0,0,0,0,11,147,1,17,$
333,222,WR,"Wilson, Marquess",CHI,7,0,0,0,0,0,0,0,0,10,81,1,16,$2
334,288,TE,"Fiedorowicz, C.J.",HOU,9,0,0,0,0,0,0,0,0,5,40,1,15,$1
335,,QB,"Anderson, Derek",CAR,5,8,86,2,0,4,0,0,0,0,0,0,15,$0
336,202,WR,"Thompkins, Kenbrell",OAK,6,0,0,0,0,2,10,0,0,15,164,0,15,$0
337,308,WR,"Inman, Dontrelle",SDC,10,0,0,0,0,0,0,0,0,15,315,0,15,$1
338,256,RB,"Dixon, Anthony",BUF,8,0,0,0,0,78,318,2,0,8,50,0,15,$0
339,,TE,"Phillips, John",SDC,10,0,0,0,0,0,0,0,0,5,48,1,15,$0
340,,TE,"Gray, MarQueis",BUF,8,0,0,0,0,1,2,0,0,8,75,0,15,$0
341,,WR,"Graham, T.J.",NYJ,5,0,0,0,0,0,0,0,0,2,42,1,14,$
342,148,WR,"Dorsett, Phillip",IND,10,0,0,0,0,0,0,0,0,14,375,0,14,$5
343,,WR,"Owusu, Chris",NYJ,5,0,0,0,0,0,2,0,0,7,59,1,13,$1
344,105,RB,"Johnson, Duke",CLE,11,0,0,0,0,81,311,2,2,16,117,0,12,$6
345,205,RB,"Williams, DeAngelo",PIT,11,0,0,0,0,166,575,2,2,30,316,0,12,$2
346,,WR,"Hemingway, Junior",KCC,9,0,0,0,0,1,0,0,0,12,128,0,12,$0
347,266,RB,"Thomas, Daniel",CHI,7,0,0,0,0,33,112,2,0,12,98,0,12,$0
348,,WR,"Saunders, Jalen",NOS,11,0,0,0,0,1,0,0,0,12,148,0,12,$1
349,104,RB,"Martin, Doug",TBB,6,0,0,0,0,158,625,2,1,18,111,0,12,$8
350,814,WR,"Tate, Brandon",CIN,7,0,0,0,0,2,12,0,0,12,144,0,12,$0
351,238,RB,"Turbin, Robert",SEA,9,0,0,0,0,68,263,0,1,9,78,1,12,$1
352,226,RB,"Oliver, Branden",SDC,10,0,0,0,0,139,453,2,0,34,235,0,12,$2
353,,TE,"Hanna, James",DAL,6,0,0,0,0,0,0,0,0,6,61,0,12,$0
354,,RB,"Thompson, Chris",WAS,8,0,0,0,0,11,30,0,0,9,37,1,12,$0
355,905,RB,"Burkhead, Rex",CIN,7,0,0,0,0,17,74,2,0,14,119,0,12,$0
356,,RB,"Coleman, Derrick",SEA,9,0,0,0,0,0,0,0,0,2,13,1,12,$
357,309,RB,"McCluster, Dexter",TEN,4,0,0,0,0,43,135,0,0,32,244,1,12,$1
358,200,RB,"Robinson, Denard",JAC,8,0,0,0,0,100,424,2,2,20,115,0,12,$2
359,359,RB,"Redd, Silas",WAS,8,0,0,0,0,34,200,2,0,21,245,0,12,$0
360,115,RB,"Freeman, Devonta",ATL,10,0,0,0,0,31,127,0,0,15,90,1,12,$5
361,174,RB,"Jones, Matt",WAS,8,0,0,0,0,87,335,2,0,23,216,0,12,$3
362,270,RB,"Cadet, Travaris",NEP,4,0,0,0,0,5,15,0,2,19,139,1,12,$1
363,,TE,"Cunningham, Justice",STL,6,0,0,0,0,0,0,0,0,7,46,0,11,$0
364,299,WR,"Moore, Denarius",CIN,7,0,0,0,0,2,1,0,1,11,101,0,11,$1
365,346,WR,"Patton, Quinton",SFO,10,0,0,0,0,4,20,0,1,11,169,0,11,$1
366,276,TE,"McDonald, Vance",SFO,10,0,0,0,0,0,0,0,0,5,59,0,10,$0
367,,TE,"Casey, James",DEN,7,0,0,0,0,0,0,0,0,2,22,1,10,$
368,351,TE,"Niklas, Troy",ARI,9,0,0,0,0,1,1,0,0,5,55,0,10,$1
369,,TE,"Jacobs, Nic",JAC,8,0,0,0,0,0,0,0,0,3,17,1,10,$
370,321,WR,"Brown, Vincent",IND,10,0,0,0,0,0,0,0,0,10,92,0,10,$0
371,313,WR,"Ginn Jr., Ted",CAR,5,0,0,0,0,3,6,0,0,10,123,0,10,$2
372,,TE,"Stocker, Luke",TBB,6,0,0,0,0,0,0,0,0,6,31,0,9,$0
373,293,WR,"Norwood, Kevin",SEA,9,0,0,0,0,1,0,0,0,9,108,0,9,$1
374,,TE,"Leonhardt, Brian",OAK,6,0,0,0,0,0,0,0,0,6,39,0,9,$0
375,,TE,"Smith, Lee",OAK,6,0,0,0,0,0,0,0,0,5,49,0,9,$0
376,248,WR,"Greene, Rashad",JAC,8,0,0,0,0,0,0,0,1,9,75,0,9,$1
377,336,QB,"Thomas, Logan",ARI,9,3,225,0,0,0,0,0,0,0,0,0,9,$0
378,219,TE,"Walford, Clive",OAK,6,0,0,0,0,0,0,0,0,5,43,0,9,$2
379,227,WR,"Caldwell, Andre",DEN,7,0,0,0,0,1,3,0,0,8,82,0,8,$1
380,262,WR,"Matthews, Chris",SEA,9,0,0,0,0,0,0,0,0,2,250,1,8,$1
381,619,WR,"Simpson, Jerome",SFO,10,0,0,0,0,1,2,0,0,8,131,0,8,$1
382,225,WR,"Janis, Jeff",GBP,7,0,0,0,0,0,0,0,0,7,55,0,7,$1
383,306,WR,"Jones, Jacoby",SDC,10,0,0,0,0,3,16,0,1,7,93,0,7,$1
384,,TE,"Carrier, Derek",SFO,10,0,0,0,0,1,2,0,0,3,41,0,7,$0
385,349,WR,"Boyce, Josh",NEP,4,0,0,0,0,0,0,0,0,7,104,0,7,$0
386,,TE,"Celek, Garrett",SFO,10,0,0,0,0,0,0,0,0,3,43,0,7,$0
387,317,RB,"Gerhart, Toby",JAC,8,0,0,0,0,82,254,1,1,18,178,0,6,$1
388,239,RB,"Carey, Ka'Deem",CHI,7,0,0,0,0,27,113,1,0,5,57,0,6,$1
389,137,WR,"Strong, Jaelen",HOU,9,0,0,0,0,0,0,0,0,6,44,0,6,$4
390,361,WR,"Street, Devin",DAL,6,0,0,0,0,0,0,0,0,6,350,0,6,$0
391,,RB,"Moreno, Knowshon",FA*,,0,0,0,0,75,320,1,0,12,85,0,6,$
392,,RB,"Neal, Rajion",GBP,7,0,0,0,0,23,81,1,1,4,16,0,6,$0
393,,RB,"Tipton, Zurlon",IND,10,0,0,0,0,38,123,1,0,8,95,0,6,$0
394,132,RB,"Sims, Charles",TBB,6,0,0,0,0,105,325,1,1,32,299,0,6,$4
395,,RB,"Thomas, Pierre",FA*,,0,0,0,0,60,275,1,0,30,260,0,6,$
396,,RB,"Johnson, Chris",FA*,,0,0,0,0,140,575,1,0,20,140,0,6,$
397,,WR,"White, Myles",GBP,7,0,0,0,0,0,0,0,0,6,45,0,6,$0
398,272,RB,"Stacy, Zac",NYJ,5,0,0,0,0,70,256,1,1,14,103,0,6,$1
399,197,RB,"Davis, Mike",SFO,10,0,0,0,0,43,159,1,2,7,64,0,6,$1
400,267,RB,"Baker, Edwin",NOS,11,0,0,0,0,40,127,1,0,12,67,0,6,$0
401,291,RB,"Brown, Bryce",BUF,8,0,0,0,0,61,203,1,1,24,264,0,6,$1
402,340,RB,"Pierce, Bernard",JAC,8,0,0,0,0,42,158,1,0,3,4,0,6,$0
403,344,RB,"Brown, Donald",SDC,10,0,0,0,0,97,262,1,0,30,212,0,6,$1
404,,WR,"Morgan, Josh",NOS,11,0,0,0,0,3,17,0,0,6,60,0,6,$
405,343,RB,"Rodgers, Jacquizz",CHI,7,0,0,0,0,52,184,1,0,23,146,0,6,$0
406,337,WR,"Jenkins, A.J.",DAL,6,0,0,0,0,2,0,0,0,6,62,0,6,$0
407,,QB,"Clausen, Jimmy",CHI,7,11,141,0,0,1,0,0,0,0,0,0,5,$1
408,623,WR,"Martin, Keshawn",HOU,9,0,0,0,0,0,0,0,0,5,45,0,5,$1
409,713,WR,"Harris, Dwayne",NYG,11,0,0,0,0,3,0,0,1,5,41,0,5,$1
410,,WR,"Thielen, Adam",MIN,5,0,0,0,0,0,0,0,0,5,77,0,5,$0
411,328,WR,"Morgan, Joseph",NOS,11,0,0,0,0,2,13,0,0,5,101,0,5,$0
412,307,WR,"Herron, Robert",TBB,6,0,0,0,0,2,10,0,1,5,48,0,5,$1
413,334,WR,"Washington, Corey",NYG,11,0,0,0,0,0,0,0,0,5,55,0,5,$1
414,196,WR,"Smith, Devin",NYJ,5,0,0,0,0,3,13,0,0,5,40,0,5,$2
415,195,WR,"Conley, Chris",KCC,9,0,0,0,0,1,0,0,1,5,40,0,5,$2
416,796,WR,"Broyles, Ryan",DET,9,0,0,0,0,0,0,0,0,4,49,0,4,$0
417,,TE,"Coffman, Chase",TEN,4,0,0,0,0,0,0,0,0,2,21,0,4,$
418,,WR,"Heyward-Bey, Darrius",PIT,11,0,0,0,0,0,0,0,1,4,35,0,4,$0
419,223,WR,"Bell, Kenny",TBB,6,0,0,0,0,0,0,0,0,3,38,0,3,$1
420,,WR,"Maehl, Jeff",PHI,8,0,0,0,0,0,0,0,0,3,34,0,3,$0
421,,TE,"Williams, Brandon",CAR,5,0,0,0,0,0,0,0,0,2,17,0,3,$1
422,226,WR,"Diggs, Stefon",MIN,5,0,0,0,0,0,0,0,0,3,150,0,3,$1
423,,WR,"Nelson, J.J.",ARI,9,0,0,0,0,1,0,0,0,3,25,0,3,$1
424,,WR,"Robinson, Aldrick",BAL,9,0,0,0,0,1,0,0,0,3,47,0,3,$
425,,WR,"Golden, Brittan",ARI,9,0,0,0,0,0,0,0,0,3,63,0,3,$0
426,292,WR,"Crowder, Jamison",WAS,8,0,0,0,0,0,0,0,0,2,11,0,2,$1
427,,TE,"Jones, Dominique",DEN,7,0,0,0,0,0,0,0,0,1,10,0,2,$
428,,QB,"McCoy, Colt",WAS,8,10,126,0,1,3,7,0,0,0,0,0,2,$0
429,,TE,"Davis, Kellen",NYJ,5,0,0,0,0,0,0,0,0,1,15,0,2,$0
430,301,QB,"Taylor, Tyrod",BUF,8,1,25,0,0,3,16,0,0,0,0,0,2,$1
431,,WR,"Benn, Arrelious",JAC,8,0,0,0,0,0,0,0,1,1,7,0,1,$0
432,,WR,"Thigpen, Marcus",BUF,8,0,0,0,0,0,0,0,0,1,9,0,1,$
433,,WR,"Tyms, Brian",NEP,4,0,0,0,0,0,0,0,0,1,7,0,1,$
434,,WR,"Shepard, Russell",TBB,6,0,0,0,0,0,0,0,0,1,14,0,1,$0
435,253,WR,"Montgomery, Ty",GBP,7,0,0,0,0,0,0,0,1,1,7,0,1,$1
436,,TE,"Stevens, Craig",TEN,4,0,0,0,0,0,0,0,0,1,5,0,1,$0
437,,TE,"Perillo, Justin",GBP,7,0,0,0,0,0,0,0,0,1,1,0,1,$
438,,TE,"Jensen, Marcel",DEN,7,0,0,0,0,0,0,0,0,1,4,0,1,$0
439,,TE,"Gordon, Richard",KCC,9,0,0,0,0,0,0,0,0,1,5,0,1,$0
440,228,WR,"Smelter, DeAndre",SFO,10,0,0,0,0,1,5,0,0,1,4,0,1,$1
441,,WR,"Mariani, Marc",CHI,7,0,0,0,0,0,0,0,0,0,0,0,0,$0
442,618,QB,"Ponder, Christian",OAK,6,1,9,0,0,0,0,0,0,0,0,0,0,$1
443,,QB,"Kafka, Mike",MIN,5,0,0,0,0,0,0,0,0,0,0,0,0,$0
444,,RB,"Smith, Jerome",ATL,10,0,0,0,0,20,73,0,0,8,34,0,0,$
445,304,RB,"Brown, Malcolm",STL,6,0,0,0,0,0,25,0,0,0,0,0,0,$0
446,,QB,"Johnson, Josh",SFO,10,0,0,0,0,0,0,0,0,0,0,0,0,$0
447,,QB,"Gradkowski, Bruce",PIT,11,1,14,0,0,7,0,0,0,0,0,0,0,$0
448,,QB,"Orlovsky, Dan",DET,9,0,0,0,0,2,0,0,0,0,0,0,0,$0
449,,QB,"Jackson, Tarvaris",SEA,9,5,9,0,0,2,0,0,0,0,0,0,0,$1
450,276,WR,"Mayle, Vince",CLE,11,0,0,0,0,0,0,0,0,0,0,0,0,$0
451,,WR,"Norwood, Jordan",DEN,7,0,0,0,0,0,0,0,0,0,0,0,0,$
452,,RB,"Tolbert, Mike",CAR,5,0,0,0,0,64,172,0,0,22,158,0,0,$
453,,QB,"Moore, Kellen",DET,9,0,0,0,0,0,0,0,0,0,0,0,0,$0
454,,RB,"Reece, Marcel",OAK,6,0,0,0,0,20,88,0,1,32,241,0,0,$
455,638,QB,"Freeman, Josh",MIA,5,0,0,0,0,0,0,0,0,0,0,0,0,$0
456,,WR,"Blake, Emory",STL,6,0,0,0,0,0,0,0,0,0,0,0,0,$
457,,TE,"Supernaw, Phillip",TEN,4,0,0,0,0,0,0,0,0,0,3,0,0,$
458,308,RB,"James, Mike",TBB,6,0,0,0,0,26,98,0,0,0,0,0,0,$1
459,,RB,"Brown, Dominique",TBB,6,0,0,0,0,0,0,0,0,0,0,0,0,$0
460,,RB,"Jones, Taiwan",OAK,6,0,0,0,0,6,0,0,0,0,6,0,0,$1
461,206,RB,"Langford, Jeremy",CHI,7,0,0,0,0,28,165,0,0,1,6,0,0,$2
462,,TE,"Stoneburner, Jake",MIA,5,0,0,0,0,0,0,0,0,0,1,0,0,$0
463,,QB,"Morris, Stephen",JAC,8,0,0,0,0,0,0,0,0,0,0,0,0,$0
464,281,QB,"Hundley, Brett",GBP,7,0,0,0,0,0,0,0,0,0,0,0,0,$0
465,202,RB,"Robinson, Josh",IND,10,0,0,0,0,30,90,0,1,6,32,0,0,$3
466,174,RB,"Allen, Javorius",BAL,9,0,0,0,0,0,0,0,0,0,0,0,0,$3
467,183,RB,"Grimes, Jonathan",HOU,9,0,0,0,0,28,116,0,0,5,67,0,0,$0
468,,QB,"Vaughan, Dustin",DAL,6,0,0,0,0,0,0,0,0,0,0,0,0,$0
469,,TE,"Lynch, Arthur",MIA,5,0,0,0,0,0,0,0,0,0,0,0,0,$0
470,,QB,"Renner, Bryn",BAL,9,0,0,0,0,0,0,0,0,0,0,0,0,$0
471,,RB,"Kuhn, John",GBP,7,0,0,0,0,21,81,0,0,5,27,0,0,$
472,319,RB,"Barner, Kenjon",PHI,8,0,0,0,0,0,0,0,0,0,0,0,0,$0
473,,RB,"Darkwa, Orleans",NYG,11,0,0,0,0,6,7,0,0,2,18,0,0,$0
474,,RB,"Murphy, Marcus",NOS,11,0,0,0,0,12,24,0,1,2,7,0,0,$0
475,,RB,"Winston, Glenn",CLE,11,0,0,0,0,0,0,0,0,0,0,0,0,$0
476,,RB,"Watts, Trey",STL,6,0,0,0,0,0,0,0,0,0,0,0,0,$
477,,WR,"Ford, Jacoby",TEN,4,0,0,0,0,1,5,0,0,0,0,0,0,$0
478,,RB,"Toussaint, Fitzgerald",BAL,9,0,0,0,0,14,27,0,0,8,43,0,0,$0
479,,RB,"Winn, George",DET,9,0,0,0,0,16,53,0,0,2,9,0,0,$0
480,261,RB,"Williams, Karlos",BUF,8,0,0,0,0,16,42,0,1,2,4,0,0,$1
481,569,RB,"Gillislee, Mike",MIA,5,0,0,0,0,6,35,0,0,0,0,0,0,$1
482,167,RB,"Michael, Christine",SEA,9,0,0,0,0,37,135,0,0,2,16,0,0,$2
483,,TE,"Charles, Orson",NOS,11,0,0,0,0,0,0,0,0,0,0,0,0,$0
484,114,RB,"Ajayi, Jay",MIA,5,0,0,0,0,8,7,0,0,0,0,0,0,$4
485,,WR,"Meachem, Robert",FA*,,0,0,0,0,0,0,0,0,0,0,0,0,$
486,,WR,"Wright, James",CIN,7,0,0,0,0,0,0,0,0,0,0,0,0,$
487,250,RB,"Zenner, Zach",DET,9,0,0,0,0,2,5,0,0,0,0,0,0,$1
488,,RB,"Hunt, Akeem",NYG,11,0,0,0,0,0,0,0,0,0,0,0,0,$0
489,,WR,"Moore, Marlon",CLE,11,0,0,0,0,0,0,0,0,0,1,0,0,$
490,,TE,"Uzomah, C.J.",CIN,7,0,0,0,0,0,0,0,0,0,1,0,0,$1
491,,RB,"Johnson, Gus",DAL,6,0,0,0,0,0,0,0,0,0,0,0,0,$0
492,321,WR,"Thomas, De'Anthony",KCC,9,0,0,0,0,0,0,0,0,0,0,0,0,$1
493,,WR,"Burse, Isaiah",DEN,7,0,0,0,0,0,0,0,0,0,0,0,0,$0
494,,WR,"Spencer, Evan",WAS,8,0,0,0,0,0,0,0,0,0,0,0,0,$0
495,,TE,"Christian, Gerald",ARI,9,0,0,0,0,0,0,0,0,0,0,0,0,$2
496,,WR,"Hazel, Matt",MIA,5,0,0,0,0,0,0,0,0,0,0,0,0,$0
497,279,QB,"Petty, Bryce",NYJ,5,0,0,0,0,0,0,0,0,0,0,0,0,$1
498,,TE,"Burton, Trey",PHI,8,0,0,0,0,0,0,0,0,0,2,0,0,$0
499,338,QB,"Mannion, Sean",STL,6,0,0,0,0,0,0,0,0,0,0,0,0,$0
500,,QB,"McCown, Luke",NOS,11,0,0,0,0,2,0,0,0,0,0,0,0,$0
501,,RB,"Edwards, Jahwan",SDC,10,0,0,0,0,0,0,0,0,0,0,0,0,$0
502,,QB,"Grayson, Garrett",NOS,11,0,0,0,0,0,0,0,0,0,0,0,0,$
503,,QB,"Lindley, Ryan",NEP,4,7,81,0,1,2,2,0,0,0,0,0,0,$
504,,WR,"Washington, L'Damian",PIT,11,0,0,0,0,0,0,0,0,0,0,0,0,$0
505,,TE,"Sudfeld, Zach",NYJ,5,0,0,0,0,0,0,0,0,0,0,0,0,$
506,362,TE,"Bell, Blake",SFO,10,0,0,0,0,0,0,0,0,0,0,0,0,$1
507,315,RB,"Dyer, Michael",OAK,6,0,0,0,0,43,137,0,1,17,118,0,0,$0
508,387,RB,"Magee, Terrence",BAL,9,0,0,0,0,6,9,0,0,2,3,0,0,$0
509,272,RB,"Rawls, Thomas",SEA,9,0,0,0,0,84,275,0,0,7,57,0,0,$1
510,,RB,"Hilliard, Kenny",HOU,9,0,0,0,0,0,0,0,0,0,0,0,0,$0
511,268,TE,"James, Jesse",PIT,11,0,0,0,0,0,0,0,0,0,0,0,0,$1
512,,TE,"Heuerman, Jeff",DEN,7,0,0,0,0,0,0,0,0,0,0,0,0,$
513,,WR,"Abbrederis, Jared",GBP,7,0,0,0,0,0,0,0,0,0,0,0,0,$
514,255,WR,"Waller, Darren",BAL,9,0,0,0,0,0,0,0,0,0,0,0,0,$1
515,,TE,"Robinson, Gerrell",MIA,5,0,0,0,0,0,0,0,0,0,1,0,0,$
516,,TE,"Denham, Anthony",HOU,9,0,0,0,0,0,0,0,0,0,0,0,0,$0
517,354,TE,"O'Leary, Nick",BUF,8,0,0,0,0,0,0,0,0,0,0,0,0,$1
518,,RB,"Harris, Josh",PIT,11,0,0,0,0,42,125,0,0,4,22,0,0,$0
519,,RB,"West, Charcandrick",KCC,9,0,0,0,0,6,14,0,0,5,39,0,0,$0
520,211,WR,"Posey, DeVier",NYJ,5,0,0,0,0,0,0,0,0,0,0,0,0,$0
521,,WR,"Streeter, Tommy",MIA,5,0,0,0,0,0,0,0,0,0,0,0,0,$
522,,RB,"Williams, Kerwynn",ARI,9,0,0,0,0,58,218,0,0,9,32,0,0,$1
523,341,RB,"Hunter, Kendall",SFO,10,0,0,0,0,31,132,0,0,1,5,0,0,$1
524,,QB,"Fales, David",CHI,7,0,0,0,0,0,0,0,0,0,0,0,0,$0
525,,RB,"Williams, Ryan",DAL,6,0,0,0,0,0,0,0,0,0,0,0,0,$
526,232,RB,"Richardson, Trent",OAK,6,0,0,0,0,0,0,0,0,0,0,0,0,$1
527,,RB,"Draughn, Shaun",CLE,11,0,0,0,0,1,1,0,0,1,1,0,0,$0
528,,RB,"Perry, Senorise",CHI,7,0,0,0,0,0,0,0,0,0,0,0,0,$
529,,RB,"Peerman, Cedric",CIN,7,0,0,0,0,13,21,0,0,6,57,0,0,$0
530,151,WR,"Gordon, Josh",CLE,11,0,0,0,0,0,0,0,0,0,0,0,0,$4
531,250,RB,"Dunbar, Lance",DAL,6,0,0,0,0,71,425,0,0,26,288,0,0,$1
532,,RB,"Harris, DuJuan",MIN,5,0,0,0,0,13,35,0,0,1,14,0,0,$0
533,,QB,"Gilbert, Garrett",DET,9,0,0,0,0,0,0,0,0,0,0,0,0,$
534,,QB,"Webb, Joe",CAR,5,0,0,0,0,0,0,0,0,0,0,0,0,$1
535,215,WR,"Blackmon, Justin",JAC,8,0,0,0,0,0,0,0,0,0,0,0,0,$2
536,,QB,"Daniels, B.J.",SEA,9,0,0,0,0,0,0,0,0,0,0,0,0,$
537,328,WR,"Jones, Seantavius",NOS,11,0,0,0,0,0,0,0,0,0,0,0,0,$1
538,325,WR,"Hankerson, Leonard",ATL,10,0,0,0,0,0,0,0,0,0,3,0,0,$1
539,,WR,"Easley, Marcus",BUF,8,0,0,0,0,0,0,0,0,0,0,0,0,$0
540,,QB,"Renfree, Sean",ATL,10,0,0,0,0,0,0,0,0,0,0,0,0,$0
541,,QB,"Dysert, Zac",DEN,7,0,0,0,0,0,0,0,0,0,0,0,0,$1
542,319,QB,"Murray, Aaron",KCC,9,0,0,0,0,0,0,0,0,0,0,0,0,$0
543,,QB,"Shaw, Connor",CLE,11,1,7,0,0,0,1,0,0,0,0,0,0,$0
544,390,QB,"McCarron, A.J.",CIN,7,0,0,0,0,10,7,0,0,0,0,0,0,$1
545,,QB,"Griffin, Ryan",NOS,11,0,0,0,0,0,0,0,0,0,0,0,0,$0
546,,QB,"Jones, Landry",PIT,11,0,0,0,0,0,0,0,0,0,0,0,0,$1
547,308,RB,"Richardson, Daryl",NYJ,5,0,0,0,0,2,4,0,0,1,5,0,0,$0
548,,WR,"Bellamy, Josh",CHI,7,0,0,0,0,0,0,0,0,0,0,0,0,$0
