Rank,ADP,Pos,Name,Team,Bye,Comp,Yards,TD,Int,Att,Yards,TD,Fum,Rec,Yards,TD,Fantasy Points,Average Auction
62,28,WR,"Hopkins, DeAndre",HOU,9,0,0,0,0,0,0,0,2,92,1325,8,152,$22
63,116,TE,"Seferian-Jenkins, Austin",TBB,6,0,0,0,0,1,1,0,1,64,585,5,150,$5
64,37,WR,"Matthews, Jordan",PHI,8,0,0,0,0,0,2,0,0,85,1286,10,148,$19
65,51,WR,"Tate, Golden",DET,9,0,0,0,0,6,32,0,0,96,1276,6,147,$15
66,22,WR,"Jeffery, Alshon",CHI,7,0,0,0,0,4,18,0,0,77,999,11,146,$27
67,222,TE,"Miller, Heath",PIT,11,0,0,0,0,0,0,0,2,64,725,2,144,$2
68,166,TE,"Green, Ladarius",SDC,10,0,0,0,0,0,0,0,0,46,625,6,144,$3
69,115,WR,"LaFell, Brandon",NEP,4,0,0,0,0,5,26,0,1,87,1002,8,144,$6
70,93,WR,"Smith, Torrey",SFO,10,0,0,0,0,3,11,1,0,62,885,10,143,$7
71,46,WR,"Allen, Keenan",SDC,10,0,0,0,0,0,1,0,3,86,1060,9,143,$15
72,56,WR,"Edelman, Julian",NEP,4,0,0,0,0,10,58,0,0,98,1025,6,140,$14
73,67,WR,"Marshall, Brandon",NYJ,5,0,0,0,0,4,16,1,1,71,915,8,140,$13
74,250,TE,"Rivera, Mychal",OAK,6,0,0,0,0,0,0,0,1,54,510,6,139,$1
75,175,TE,"Reed, Jordan",WAS,8,0,0,0,0,1,4,0,2,65,651,2,138,$2
76,41,WR,"Cooper, Amari",OAK,6,0,0,0,0,1,3,0,1,75,955,9,138,$20
77,186,TE,"Donnell, Larry",NYG,11,0,0,0,0,0,0,0,3,56,573,5,137,$3
78,59,WR,"Landry, Jarvis",MIA,5,0,0,0,0,2,1,0,2,89,924,8,137,$12
79,151,TE,"Rudolph, Kyle",MIN,5,0,0,0,0,0,0,0,0,51,551,5,136,$4
80,159,TE,"Fleener, Coby",IND,10,0,0,0,0,0,0,0,0,41,560,6,133,$4
